namespace,Question_Number,Answer_Number,Label,Point_Recommendation,Op-Ed
Covid2_Probability2020_09_20,7,1,Numeric context,0,0
Covid2_Probability2020_09_20,7,2,Numeric context,-2,-2
Covid2_Probability2020_09_20,7,3,Numeric context,-1,-1
Covid2_Probability2020_09_20,7,4,Numeric context,0,0
Covid2_Probability2020_09_20,7,5,Numeric context,0,0
Covid2_Probability2020_09_20,8,1,Systematic Variation,-3,-3
Covid2_Probability2020_09_20,8,2,Systematic Variation,-2,-2
Covid2_Probability2020_09_20,8,3,Systematic Variation,-1,-1
Covid2_Probability2020_09_20,8,4,Systematic Variation,0,0
Covid2_Probability2020_09_20,8,5,Systematic Variation,1,1
Covid2_Probability2020_09_20,9,1,Statistical Variation,-3,-3
Covid2_Probability2020_09_20,9,2,Statistical Variation,-2,-2
Covid2_Probability2020_09_20,9,3,Statistical Variation,-1,-1
Covid2_Probability2020_09_20,9,4,Statistical Variation,0,0
Covid2_Probability2020_09_20,9,5,Statistical Variation,1,1
Covid2_Probability2020_09_20,10,1,False precision,-2,-2
Covid2_Probability2020_09_20,10,2,False precision,-1,-1
Covid2_Probability2020_09_20,10,3,False precision,0,0
Covid2_Probability2020_09_20,12,1,Open to evidence,1,1
Covid2_Probability2020_09_20,12,2,Open to evidence,1,1
Covid2_Probability2020_09_20,12,3,Open to evidence,1,1
Covid2_Probability2020_09_20,12,4,Open to evidence,1,1
Covid2_Probability2020_09_20,12,5,Open to evidence,0,0
Covid2_Holistic_2020_09_20,11,2,Misleading Title,-2,-2
Covid2_Holistic_2020_09_20,11,3,Misleading Title,-4,-4
Covid2_Holistic_2020_09_20,11,4,ClickBait title,-8,-8
Covid2_Holistic_2020_09_20,11,5,ClickBait title,-15,-15
Covid2_Holistic_2020_09_20,8,1,Very Biased,-10,-10
Covid2_Holistic_2020_09_20,8,2,Very Biased,-5,-5
Covid2_Holistic_2020_09_20,8,3,Biased,-2,-2
Covid2_Holistic_2020_09_20,8,4,Minor Bias,-1,-1
Covid2_Sources_2002_09_20,2,1,Qualified Source,2,2
Covid2_Sources_2002_09_20,2,2,Qualified Source,1,1
Covid2_Sources_2002_09_20,2,7,Unqualified Source,-1,-1
Covid2_Sources_2002_09_20,2,8,Unqualified Source,-2,-2
